no,bugis,indonesia,english,len_bugis,skor_bugis
45,"Iya' mitau'ka narekko engka tau-tau Makedonia iya maccoe sibawa-bawa iya' matu' wettunna iya' engka lao akku idi'. Na narekko alena naruntu' i akkeda idi' de'pa tasiap, wah, siri'ta ro matu', nasaba' purani upau makkeda idi' mateppe' ladde' akku idi'! Na idi' masiri' toki nataro","Saya khawatir kalau-kalau ada orang-orang Makedonia yang ikut bersama-sama saya nanti pada waktu saya datang kepadamu. Dan kalau mereka mendapati bahwa kalian belum siap, wah, alangkah malunya kami nanti, karena sudah mengatakan bahwa kami percaya sekali kepadamu! Dan kalian sendiri pun akan malu juga","I am afraid that there will be Macedonians with me when I come to you. And if they find that you are not ready, why, how embarrassed we will be, because we have said that we really believe in you! And you yourself will be embarrassed too",44,11
46,"Maga alemu de' perhatikeng tau-tau munapi' ero makkada lao silessureng-silessureng alena ero kapere' iantara jago kitta' ""Sisungguna narekko alemu iusiri' yero alenaro engka messu' sibawammu nappa idi' lettu rimonring de' ga engka patui lao niga-niga untu' (mappasussa) alemu, nappa narekko alemu iperrangi pastinni alena wedding bantui alemu"".","Apakah kamu tidak memperhatikan orang-orang munafik yang berkata kepada saudara-saudara mereka yang kafir di antara ahli kitab ""Sesungguhnya jika kamu diusir niscaya kamipun akan keluar bersamamu dan kami selama-lamanya tidak akan patuh kepada siapapun untuk (menyusahkan) kamu, dan jika kamu diperangi pasti kami akan membantu kamu"".","Have you not noticed the hypocrites who say to their brothers who disbelieve among the People of the Book ""Indeed, if you are expelled, we will surely come out with you and we will never obey anyone to (trouble) you, and if you are fought we will definitely help you.""",47,11
47,"Alena mappigau aga ero, padahala' Al-Qur'an iyaro kitta' sucing ero de' engka bandingkengni, mappakal setia' tau ero mattentangna, nappa de' nengka wedding pattamai sibawa assalang pole sisi pole kega topa. Al-Qur'an iyehe no' sicara mangangsuru'-suru' pole Puang ero Mahasuci pole aga-aga ero de'na magguna, nappa mega ipuji nasaba' ni'ma ero ilimpahkeng-Na.","Mereka melakukan hal itu, padahal al-Qur'ân adalah kitab suci yang tidak ada bandingannya, mengalahkan setiap orang yang menentangnya, dan tidak akan pernah bisa dimasuki oleh kesalahan dari sisi mana pun. Al-Qur'ân itu turun secara berangsur- angsur dari Tuhan yang Mahasuci dari hal-hal yang tak berguna, dan banyak dipuji karena nikmat yang dilimpahkanNya.","They did this, even though the Qur'ân is a holy book that has no equal, defeats everyone who opposes it, and can never be entered by error from any side. The Al-Qur'ân came down gradually from the Most Pure God from useless things, and was widely praised for the blessings He bestowed.",51,11
48,"Musuh-musuh Kristus iyaro ianaritu tau-tau iya purae nasalai ki, nasaba' alena sitongengna memeng tania tau-tautta. Narekko alena tau-tauta, manessa alena tette' sibawa-bawa ki. Naikiya alena nasalaiki, bara' manessani makkeda de' nammu seddi tau pole alena iya tongeng-tongeng mattama golonganta","Musuh-musuh Kristus itu adalah orang-orang yang sudah meninggalkan kita, karena mereka sebenarnya memang bukan orang-orang kita. Kalau mereka orang-orang kita, tentu mereka tetap bersama-sama kita. Tetapi mereka meninggalkan kita, supaya jelaslah bahwa tidak seorang pun dari mereka yang benar-benar termasuk golongan kita","The enemies of Christ are people who have abandoned us, because they are not really our people. If they are our people, of course they will still be with us. But they left us, so that it would be clear that none of them really belonged to our group",39,11
49,"""Patturioloang William Greenlee napuada rekko bangsa Portugis nasadari makkeda ""pada alena cedde jumlana na bahwa pada alena lokka ri India sibawa armada-armadanya ri esso rimunri engka malewe laleng onrong ripabeta pole egana najaji pengkhianatanna temmaka wedding ripatettongeng bicara pole iyaro batena nasaba tegas bara' bangsa Portugis mitau sibawa ripakaraja ri esso rimunri.""","""Sejarawan William Greenlee mengatakan kalau bangsa Portugis menyadari bahwa ""mereka sedikit jumlahnya dan bahwa mereka yang datang ke India dengan armada-armadanya di kemudian hari akan selalu berada dalam posisi kalah secara jumlah sehingga pengkhianatan ini perlu dihukum dengan cara yang sedemikian tegas agar bangsa Portugis ditakuti dan dihormati di kemudian hari.""","Historian William Greenlee says that the Portuguese realized that ""they were few in number and that those who came to India with their fleets would in future always be in a position of numerical disadvantage so that this treason needs to be punished in such a strict manner so that the Portuguese nation will be feared and respected in the future.""",52,11
50,"Pura mettana de' laoi onroang iyehe, marrindu to manre gado-gadp khase' Tungku Angkasa. Makkokkoe rilengkaki sibawa life musik ""soulkustik"" ero ibawakeng kallolo-kallo makerreng. Pura mabbicara cinampe' sibawa kru group iyehe, terntatanf alena wedding terimang ordoreng untu' malliseki acarang. Narekko alemu mammina' untu' mangngundang grup iyehe wedding irita pole kartu asemmu ero iya' sibawangngi ri rokikeng iyehe.","Setelah sekian lama tidak berkunjung ke tempat ini, kangen juga makan gado-gado khas Tengku Angkasa. Kini dilengkapi dengan life music ""soulkustik"" yang diawaki anak-anak muda keren. Sempat bincang sejenak dengan kru group ini, ternyata mereka siap terima orderan untuk mengisi acara. Jika anda berminat untuk mengundang group ini silahkan lihat di kartu nama yang saya sertakan di tulisan ini.","After not visiting this place for a long time, I really miss eating Tengku Angkasa's typical gado-gado. Now equipped with live music ""soul acoustic"" manned by cool young people. Had a moment to chat with the crew of this group, it turned out they were ready to accept orders to fill the event. If you are interested in inviting this group, please look at the business card that I included in this article.",56,11
51,"Aseng ku', akhmad masyhudi afandy. iyya' kurang puas sibawa akkullenna bri syariah. Iyya' sebagai nasabah melo fegau' faleppe'i kredit. Iyya' furana' ajukang faleppe' fole uleng juni (tujunna sebelungna alleppereng). tafi' lettu' yewe essoe dessafa gaga nafattentu tentang magafi sertifikat yero iyya' ajukang riolo wedding iyya' wala. Fabbalu' bank calalena furani makkeda lao iyya' aklo sertifikat wedding messu fammulang uleng.","Nama saya, akhmad masyhudi afandy. saya kurang puas dengan kinerja bri syariah. Saya sebagai nasabah ingin melakukan pelunasan kredit. Saya sudah mengajukan pelunasan dari bulan juni (tepatnya sebelum lebaran). tapi hingga hari ini belum ada putusan mengenai kapan sertifikat yang saya ajukan dulu bisa saya ambil. Marketing bank sendiri sudah bilang sama saya kalau sertifikat bisa keluar awal bulan.","My name is Akhmad Masyhudi Afandy. I am not satisfied with BRI Syariah's performance. As a customer, I want to make credit repayments. I have applied for repayment since June (precisely before Eid). but to this day there has been no decision regarding when I can take the certificate that I applied for first. The bank's marketing itself has told me that the certificate can be issued at the beginning of the month.",59,11
52,"Makkadani, oh Rasul, lao tau-tau musri' ero, ""Magani riantaramu sembaheng-sembaheng alena ero pura alena jajikeng sikutu-sikutu pole Allata'ala ero engka ro runtu' bedakeng riantara attongengeng sibawa assessakeng, nappa sikutu selaing Allata'ala ero wedding mangngarakeng alena ri laleng ero tongeng? ""Alena, pasti de' na wedding!","Katakanlah, wahai Rasul, kepada orang-orang musyrik itu, ""Apakah di antara sembahan-sembahan kalian yang telah kalian jadikan sekutu-sekutu bagi Allah itu ada yang dapat membedakan antara kebenaran dan kesesatan, sehingga sekutu selain Allah itu dapat mengarahkan kalian ke jalan yang benar?"" Mereka, pasti, tidak akan mampu!","Say, O Messenger, to those idolaters, ""Is there anyone among your worshipers who you have made partners with Allah who can distinguish between truth and error, so that partners other than Allah can direct you to the right path?"" They, for sure, will not be able to!",44,11
53,"Riwettuero de'na gaga assisalangenna, nasaba' presiden-presidenki pole seddi lettu eppa'e iyyanaritu urane'. Iyaro tauwé harusu'i massempajang ri yolona mézba na ri munri engkato siyagangngaré tau laing iya harusu'é massempajang ri munrinna. Namuni engka seddi makkunrai mancaji presiden, sibawa ade' nennia protokoler, de'na mappake untu' seddi makkunrai mancaji presiden massempajang ri langga' riase'e iyyarega ri munri.","Dulunya pemisahan lantai tidak menjadi masalah karena presiden kita mulai dari yang pertama hingga ke-4 adalah pria. Beliau-beliau tesebut salat di bagian depan Masjid Istiqlal dengan dikawal paspampres hingga beberapa saf di belakangnya. Namun begitu kita memiliki presiden perempuan, dengan pertimbangan etika dan protokoler, rasanya tidak pas jika presiden perempuan salat di lantai atas atau di bagian belakang.","Previously, floor separation was not a problem because our presidents from the 1st to the 4th were men. These men prayed at the front of the Istiqlal Mosque, accompanied by the paspampres and several staff behind him. However, once we have a female president, considering ethics and protocol, it doesn't feel right for a female president to pray upstairs or in the back.",55,11
54,"Na tau-tau mateppe e makkeda ""Magi na degaga i pano' sure'?"" Narekko engka i panoreng sure'-sure' ya mannessae bettuanna sibawa i teppureng ri lalengna (parenta) mammusu, na muita tau-tau engkae lada ri laleng atinna tangga alemu pada nakko tangga i tau ya pingsan e nasaba mitau mate sibawa kecelakaang pole rialena.","Dan orang-orang yang beriman berkata ""Mengapa tiada diturunkan suatu surat?"" Maka apabila diturunkan suatu surat yang jelas maksudnya dan disebutkan di dalamnya (perintah) perang, kamu lihat orang-orang yang ada penyakit di dalam hatinya memandang kepadamu seperti pandangan orang yang pingsan karena takut mati, dan kecelakaanlah bagi mereka.","And those who believe say ""Why was no letter revealed?"" So when a letter is sent down which is clear in its meaning and which contains (orders) for war, you see people who have disease in their hearts looking at you like the gaze of someone who has fainted for fear of death, and woe to them.",51,11
55,"(Se'ga silisi tau-tau ero mareng kitta') yero tau-tau Yahudi sibawa Nasrani laleng agamang, sebageang alena missengngi makkada alenana ero agamang mattauhi' nappa lainna kapere' (kicuali pura engka lao alena addissengeng) ero mattauhi' iseba'keng (assiri ati) pole tau-tau kapere' (riantara adana alena, niga ero kapere lao aya'-aya' Allata'ala, jaji sisunggunna Allata'ala masiga' ladde' ahhitungeng-Na) massu'na abbalaseng-Na.","(Tidaklah berselisih orang-orang yang diberi kitab) yakni orang-orang Yahudi dan Nasrani dalam agama, sebagian mereka mengakui bahwa merekalah yang beragama tauhid sedangkan lainnya kafir (kecuali setelah datang kepada mereka ilmu) tentang ketauhidan disebabkan (kedengkian) dari orang-orang kafir (di antara sesama mereka, siapa yang kafir pada ayat-ayat Allah, maka sesungguhnya Allah cepat sekali perhitungan-Nya) maksudnya pembalasan-Nya.","(There is no difference between those who were given the book) namely the Jews and the Christians in religion, some of them admit that they are the believers of monotheism while others disbelieve (except after knowledge has come to them) regarding monotheism due to (envy) of the disbelievers (among their fellows, whoever disbelieves in the verses of Allah, then indeed Allah is very quick in His reckoning) meaning His retribution.",55,11
56,"Shalih makkeda, ""Aga pendapatmu narekko iya sitongengna benar ri laleng paseng ku sibawa bukti-bukti mappatedde pole ri Puangkku na Alena pura mabbere kasih sayang rialeku sibawa alemu padae kenabian sibawa kerasulan, nainappa maraga cara na iya pasalai sibawa langgar i parenta-Na ri de palettui paseng-paseng-Na nasaba pennoi parentanu? Niga melo tulung ka pole ku paccallana Allahta'ala narekko madorakaka riale-Na?","Shâlih berkata, ""Apa pendapat kalian jika aku jelas-jelas benar dalam seruanku dengan didukung bukti- bukti penguat dari Tuhanku, dan Dia telah memberikan kasih sayang kepadaku dan kalian berupa kenabian dan kerasulan, lalu bagaimana mungkin aku menyalahi dan melanggar perintah-Nya dengan tidak menyampaikan pesan-pesan-Nya karena memenuhi permintaan kalian? Siapa yang akan menolongku untuk menolak siksa Allah jika aku mendurhakai-Nya?","Shâlih said, ""What do you think, if I am clearly correct in my call, supported by supporting evidence from my Lord, and He has given me and you love in the form of prophecy and apostleship, then how could I violate and disobey His commands by not conveying His messages to fulfill your requests? Who will help me to resist Allah's punishment if I disobey Him?",59,11
57,"Sisungguna pura engka icontoi ero makanja' untu'mu Ibrahim ero tau-tau yero massamang sibawa alena wettu alena makkada sibawa kaung laena ""Sisungguna idi' malleppe' ale daripada alemu pole aga ero alemu sembai selainna Allata'ala, idi' ingkari (kapere')mu nappa pura tongeng riantara idi' sibawa alemu mappammusu sibawa cacca bua' matu'-matu' lettu' alemu maimang lao Allata'ala baweng.","Sesungguhnya telah ada suri tauladan yang baik bagimu pada Ibrahim dan orang-orang yang bersama dengan dia ketika mereka berkata kepada kaum mereka ""Sesungguhnya kami berlepas diri daripada kamu dari daripada apa yang kamu sembah selain Allah, kami ingkari (kekafiran)mu dan telah nyata antara kami dan kamu permusuhan dan kebencian buat selama-lamanya sampai kamu beriman kepada Allah saja.","Indeed, there was a good role model for you in Abraham and those who were with him when they said to their people ""Indeed, we disassociate you from what you worship besides Allah, we deny you (disbelief) and there has been established between us and you enmity and hatred forever until you believe in Allah alone.",54,11
58,"""Siagani, maega rilaleng kelompokna iyye lao napassalai alena, naduga iyaro masalah finansial ero purani ripake lao ma'bawa gereja okko arah pijakanna iyye lebbi demokratis, ri engka Pengawas Umum rijadikanni iyaro jabatanna iyye wedding pole pemungutan suarae sibawa jangka wettu terbatasna, iyarega mappada wettue ero.""","""Beberapa, kebanyakan dalam kelompok yang kemudian memisahkan diri, menduga bahwa masalah finansial ini telah digunakan untuk membawa gereja ke arah pijakan yang lebih demokratis, di mana Pengawas Umum dijadikan sebagai jabatan yang harus melalui pemungutan suara dengan jangka waktu terbatas, ketimbang seperti saat itu.""","""Some, mostly in the group that later broke away, alleged that these financial problems had been used to move the church onto a more democratic footing, with the General Overseer made a voting office with a limited term, rather than as it was then.""",44,11
59,"De na degaga ri alena narekko se'kke na rialeng ku kurang pole tellu tau yanaro bettuang ya i simpulkan e pole ri ada jamak engkae ku ayat e. Sunnah pura mabbere pannessa, makkeda tau wedding e mattaro ma se'kke yanaritu, riantarana tau selleng, weddingna tannia pole ri Bani Hasyim sibawa de to na pole Bani Muthalib.","Tidak cukup baginya bilamana ternyata zakatnya hanya diberikan kepada kurang dari tiga orang demikianlah pengertian yang disimpulkan dari ungkapan jamak pada ayat ini. Sunah telah memberikan penjelasannya, bahwa syarat bagi orang yang menerima zakat itu, antara lain ialah muslim, hendaknya ia bukan keturunan dari Bani Hasyim dan tidak pula dari Bani Muthalib.","It is not enough for him if it turns out that his zakat is only given to less than three people That is the meaning concluded from the plural expression in this verse. Sunah telah memberikan penjelasannya, bahwa syarat bagi orang yang menerima zakat itu, antara lain ialah muslim, hendaknya ia bukan keturunan dari Bani Hasyim dan tidak pula dari Bani Muthalib.",56,11
60,"""Ri esso pertamana kebakaran, iyye engka wargana napitte lao naselamatkanni harta bendana alenamaneng iyye berhargae iyeto mengungsi okko bola amanna sideppe, terutamana okko gereja-gereja paroki na Katedral Santo Paulus, namoto alena wedding lele onrowanna paemeng siaga jam iyye nasaba onrowanna ero to de'na aman.""","""Pada hari pertama kebakaran, sebagian besar warga memilih untuk menyelamatkan harta benda mereka yang berharga kemudian mengungsi ke rumah aman terdekat, terutama ke gereja-gereja paroki dan Katedral Santo Paulus, namun mereka harus pindah tempat lagi beberapa jam kemudian karena tempat tersebut juga tidak aman.""","""On the first day of the fire, most residents chose to save their valuables and then evacuated to nearby safe houses, especially to the parish churches and St Paul's Cathedral, but they had to move again a few hours later because those places were also unsafe.""",44,11
61,"""Melito naruntu onrong utama ri antara iyamaneng Uskup ri Asia nasaba pengaruh rialena lao agama Kristen sibawa karya sastranya, sipue loppona makkokkoe lenynye', naekkiya pole apa weddingnge ripadecengi pole materia engkani, pura nabbereang wawasan loppo lao laleng agama Kristen ri abad maddua.""","""Melito mendapat tempat utama di antara para Uskup di Asia karena pengaruh pribadinya terhadap agama Kristen dan karya sastranya, yang sebagian besar sekarang telah hilang, tetapi dari apa yang dapat dipulihkan dari materia yang ada, telah memberikan wawasan besar ke dalam agama Kristen pada abad kedua.""","""Melito occupies a prominent place among the Bishops of Asia because of his personal influence on Christianity and his literary works, most of which are now lost, but from what can be recovered from extant material, have provided great insight into Christianity in the second century.""",42,11
62,"(Hai rupatau, sisungguna pigaue tallewa' bataseng alena) akkbbua' akkajareng alena (wedding timpai alena ale-ale) nasaba' sisungguna ero tanggungi dosana iyaro aleta ale-ale (ero padami anni'makeng linoe) aleta massennang-sennang sibawa alena laleng wettu ero cedde'. (Nappa lao Idi'mi bali' aleta) purata mate (nappa Idi' makkabara' lao aleta aga ero pura alemu jamang) jaji idi' balaseng alemu pole ero.","(Hai manusia, sesungguhnya perbuatan kelewat batas kalian) perbuatan kelaliman kalian (akan menimpa diri kalian sendiri) karena sesungguhnya yang menanggung dosanya adalah diri kalian sendiri (hal itu hanyalah kenikmatan duniawi) kalian bersenang-senang dengannya dalam waktu yang sedikit. (Kemudian kepada Kamilah kembali kalian) sesudah mati (lalu Kami kabarkan kepada kalian apa yang telah kalian kerjakan) maka Kami membalas kalian berdasarkannya.","(O people, indeed, your actions are too much) your acts of injustice (will befall you) because in fact the one who bears the sin is yourself (it is only worldly pleasure) you enjoy it for a short time. (Then to Us you will return) after death (then We inform you of what you have done) so We reward you accordingly.",57,11
63,"""Iya aga-agae tania nasaba' alena pura tabbiasani sibawa kekerasan yarega mappalesse esse nyawana iye mubbae secara alamiah lao ri alena riale nasaba' musti pegaui jamangna iye de'na pojiwi iyana justru nassabareng nasaba' fakta iyana ri iyaro wettue, tau iye engkae bata-bata ri atinna de' naulle mita makkada tau laingnge bata mappada iyaro nabata-batai.""","""Hal ini bukan karena mereka sudah terbiasa dengan kekerasan atau mengalihkan setiap perasaan kasihan yang muncul secara alamiah kepada diri mereka sendiri karena harus menjalankan tugas yang begitu tidak mengenakkan hal ini justru disebabkan oleh fakta bahwa pada saat itu, setiap orang yang hati nuraninya mengalami keraguan tidak mampu melihat bahwa orang lain memiliki keraguan yang sama.""","""This was not because they had become accustomed to violence or turned any naturally occurring feelings of pity onto themselves for having to undertake so unpleasant a task it was precisely due to the fact that at that time, anyone whose conscience experienced doubts was unable to see that others had the same doubts.""",53,11
64,"Masyarakatna terprovokasi pole ulahna maega tau iyye de'na napoji keberadaanna jemaah ero okko ro. Namoto, selamana iyye jemaah Ahmadiyah to genneni makanja sibawa masyarakat, na iyemaneng balibolana ero de'na gaga lao keberatan alenamaneng nalakukanni kegiatanna. Alena purani nalakukan pengusutanna terkait insidenna ero, mattama niga iyye nasebarkanni isu, iyye nabbuwa maega massa bertindak anarkistis.","Masyarakat terprovokasi oleh ulah sejumlah orang yang tidak menyukai keberadaan jemaah tersebut di sana. Padahal, selama ini jemaah Ahmadiyah juga cukup baik dengan masyarakat, dan para tetangga pun tidak ada yang keberatan mereka melakukan kegiatan. Ia sudah melakukan pengusutan terkait insiden itu, termasuk siapa yang menyebarkan isu, yang membuat sejumlah massa bertindak anarkistis.","The community was provoked by the actions of a number of people who did not like the presence of the congregation there. In fact, so far the Ahmadiyah congregation has been quite good with the community, and none of their neighbors have objected to them carrying out activities. He has carried out an investigation into the incident, including who spread the rumor, which caused a number of people to act anarchistically.",53,11
65,"Nia pole risappaana, de'na runtui sumber berita kredibel asisumpung parelluna Menhan lao nalaporo' ulama iyyarega ustadz iya riaseng kafir. Makkotoparo, pappaseng pole Menhan purai rimodifikasi sibawa natambai pappaseng palsu ri artikel operain.blogspot.com. Ri operain.blogspot.com, pappaseng Menhan makkadae "" Narekko engka tau makkeda de'na mateppe, weddikka massumpajang tenniya bawang iyya massompa. Pancasila iyanaritu asseddingeng Indonesia iya mawessele akkaleng"".","Adapun berdasarkan penelusuran, tidak ditemukan sumber berita kredibel mengenai himbauan Menhan untuk melaporkan ulama atau ustadz yang menyebut kafir. Selain itu, pernyataan dari Menhan juga telah dimodifikasi dengan menambah pernyataan palsu pada artikel operain.blogspot.com. Pada operain.blogspot.com, pernyataan Menhan berbunyi ""Kalau ada yang bilang kafir, bisa saya cyduk tidak hanya saya tempeleng. Pancasila itu persatuan Indonesia yang berperikemanusiaan"".","Based on searches, no credible news sources were found regarding the Minister of Defense's call to report clerics or ustadz who call them infidels. Apart from that, the statement from the Minister of Defense has also been modified by adding false statements to the operain.blogspot.com article. On operain.blogspot.com, the Minister of Defense's statement read ""If someone says they are infidels, I can take action, not just slap them. Pancasila is Indonesian unity with humanity.""",57,11
66,"""Jaji narekko kejadiang, wettunna ambo'na alena, iyare'gi silessureng-silessureng alena ye engkae lao ri idi' untu' maddareke, idi' elo' makkeda lao alena, 'Amberengni alena yero lao ri idi' sibawa ikhlas, nasaba' laleng pertempurang idi' de' nulle itikkeng tau makkunraiye untu' mancaji baene alena masing-masing.""","""Maka jika terjadi, ketika ayah mereka, atau saudara-saudara mereka yang datang ke kita untuk mengeluh, kita akan mengatakan kepada mereka, 'Serahkanlah mereka itu kepada kami dengan rela hati, sebab dalam pertempuran kita tidak dapat menangkap seorang perempuan untuk menjadi isteri mereka masing-masing.""","""So if it happens, when their fathers, or their brothers come to us to complain, we will say to them, 'Hand them over to us willingly, for in battle we cannot capture a woman to be each of their wives.""",43,11
67,"(Nappa niga ero isesa'keng Allata'ala jaji de'ga topa pole alena siddi pappimping purana ero) bettuanna de'ga sala siddi mua ero engka mareng pattunju' laona purana alena i sesakeng sibawa Allata'ala (Nappa alemu wedding makkita tau-tau ero lalling wettu alena makkita aza' makkada, ""Engkaga kirana laleng untu' bali') lao lino pole idi'.""","(Dan siapa yang disesatkan Allah maka tidak ada baginya seorang pemimpin pun sesudah itu) artinya tiada seorang pun yang dapat memberikan petunjuk kepadanya sesudah ia disesatkan oleh Allah (Dan kamu akan melihat orang-orang yang lalim ketika mereka melihat azab berkata, ""Adakah kiranya jalan untuk kembali) ke dunia bagi kami.""","(And whoever Allah leads astray then there is no leader for him after that) meaning that no one can guide him after he is led astray by Allah (And you will see the wrongdoers when they see the punishment saying, ""Is there a way to return) to the world for us.""",51,11
68,"Iyya purae idi' praktikkangi rilaleng iyamaneng rupanna pemilu. Tania bawang pileg iyye to pemilihanna kepala daerah na pilpres. Erona iyye faktualna idi' cek,"" adanna Arief. ""Iyya ero wedding irangerrang, aga iyye ripettui esso iyye de'na selesai esso iyye. Iyyena wedding dipake laori pemilu idi' ri wettue iyye wedding engka pole,"" lanjutanna alena.","Dan sudah kami praktikkan dalam berbagai jenis pemilu. Bukan hanya pileg tapi juga pemilihan kepala daerah dan pilpres. Itu secara faktual kita cek,"" kata Arief. ""Dan yang harus diingat, apa yang diputuskan hari ini tak selesai hari ini. Ini akan digunakan untuk pemilu kita di masa yang akan datang,"" lanjut dia.","And we have practiced it in various types of elections. Not only legislative elections but also regional head elections and presidential elections. ""We factually checked that,"" said Arief. ""And what must be remembered is that what is decided today will not be finished today. ""This will be used for our future elections,"" he continued.",52,11
69,"""Pemerintah Inggris nappa mappallebbang makkedae nasaba' assisompungenna sibawa ronta'e, alena napuroi untu' nabali' siare lisensi ekspor senjata lao ri Bahrain iyya makkedai majeppu ""lisensi de'na ulle ripassu narekko pejabatna mappikkiri engka resiko rekko ekspor wedding napamompoi konflik regional iyyarega internal iyyarega ripakkeguna untu' napallebangeng represi internal. """"","""Pemerintah Inggris kemudian mengumumkan bahwa sehubungan dengan kerusuhan tersebut, dia memutuskan untuk mencabut beberapa lisensi ekspor senjata ke Bahrain yang menyatakan bahwa ""lisensi tidak akan dikeluarkan saat pejabat menilai bahwa ada risiko bahwa ekspor dapat memancing konflik regional atau internal atau digunakan Untuk memfasilitasi represi internal. """"","""The British government later announced that in light of the unrest, it had decided to revoke some arms export licenses to Bahrain stating that ""licenses will not be issued when officials assess that there is a risk that the exports could provoke regional or internal conflict or be used to facilitate internal repression. """"",47,11
70,"Hai tau-tau ero maimang, sisunggunna Allata'ala engka mangnguji alemu engka ero aga-aga ri olokolo wuruang ero makanja' iruntu' sibawa limang nappa tomba'mu bara' Allata'ala missengngi tau ero mitau' lao alena, amo iya' de'na runtu' pakkitang-Na, Warang niga ero mallanggara' bataseng purana ero, jaji polena aza' ero mapeddi'","Hai orang-orang yang beriman, sesungguhnya Allah akan menguji kamu dengan sesuatu dari binatang buruan yang mudah didapat oleh tangan dan tombakmu supaya Allah mengetahui orang yang takut kepada-Nya, biarpun ia tidak dapat melihat-Nya. Barang siapa yang melanggar batas sesudah itu, maka baginya azab yang pedih.","O you who believe, indeed Allah will test you with something from game that is easy to find with your hands and spears so that Allah will know those who fear Him, even though they cannot see Him. Whoever violates the limit after that, there will be a painful punishment for him.",47,11
71,"""Dek'na engka saisa pole ri bolana rioloe, Logan nainappa makkeda narekko maelo'i na caui siningna tau maja'e ri lino baru'e nennia napapole'i atennangengnge ri lino'e sibawa alena nenniya Bruce Banner, Jr. mancadi anggota pammulang pole ri kelompok superhero baru'e riwettu de'na mattajeng Mataesso labu'e.""","""Dengan tidak ada yang tersisa dari rumah lamanya, Logan kemudian mengatakan bahwa dia berencana untuk mengalahkan semua penjahat dunia baru dan membawa perdamaian ke negeri  dengan dirinya sendiri dan Bruce Banner, Jr. menjadi anggota pertama dari kelompok superhero baru  sebelum naik ke Matahari terbenam.""","""With nothing left of his old home, Logan then says that he plans to defeat all the criminals of the new world and bring peace to the land  with himself and Bruce Banner, Jr. becoming the first members of a new group of superheroes  before riding off into the Sunset.""",44,11
72,"Nappa makkada pattinggi-pattinggi eri kapere' ri antara kaungna sibawa ero dustakeng engka runtu' esso kiama' (bara') sibawa ero purae Idi' mewakeng alena laleng kehidupeng ri lino ""(Rupatau) iyehe de'na laing iyaro rupatau pada alemu, alena manre pole aga ero alemu manre, nappa minung pole aga ero alemu minung.","Dan berkatalah pemuka-pemuka yang kafir di antara kaumnya dan yang mendustakan akan menemui hari akhirat (kelak) dan yang telah Kami mewahkan mereka dalam kehidupan di dunia ""(Orang) ini tidak lain hanyalah manusia seperti kamu, dia makan dari apa yang kamu makan, dan meminum dari apa yang kamu minum.","And said the leaders who disbelieved among their people and who denied will meet the hereafter (in the future) and whom We have blessed them with in life in this world ""This (person) is nothing but a human like you, he eats from what you eat, and drinks from what you drink.",48,11
73,"Nappa riantara tau-tau ero makkada ""Sisungguna idi' iyehe tau-tau Nasrani"", engka ero pura alemu idi' mala ajjanciang alena, tapi'na alena (sengajang) mallupai sebageang pole aga ero alena pura iyareng peringngerrang sibawanna jaji Idi' timbulukeng riantara alena ammusuang nappa abbenciang lettu' esso kiama'. Nappa matu' Allata'ala engka macceritang lao alena aga ero alena majjama.","Dan diantara orang-orang yang mengatakan ""Sesungguhnya kami ini orang-orang Nasrani"", ada yang telah kami ambil perjanjian mereka, tetapi mereka (sengaja) melupakan sebagian dari apa yang mereka telah diberi peringatan dengannya maka Kami timbulkan di antara mereka permusuhan dan kebencian sampai hari kiamat. Dan kelak Allah akan memberitakan kepada mereka apa yang mereka kerjakan.","And among those who say ""Indeed we are Christians"", there are those with whom we have taken their covenant, but they (deliberately) forget part of what they have been warned about So We caused among them enmity and hatred until the Day of Resurrection. And one day Allah will tell them what they did.",53,11
74,"Jaji narekko maeloki getteng kesimpulang, sitongenna aga rahasia pole attujungenna Vanilla Hijab? Rahasiana? Upau lempui iyya dewisseng bali i iyyae pakkutanae, yakkeppaha ri wettu talkshow e iyya de to wisseng bali i. Naekiya pede lao esso, pikkiriku sibawa tim Vanilla Hijab ipeneddingi makkeda iyyaro rupa taue weddingmi bawang makkuraga, naekiya ri monrinna ro akkuragang iyya ripegaue ripattentui ri Puang seuwwae.","Jadi kalau kita simpulkan, sebenarnya apa rahasia dari kesuksesan Vanilla Hijab? Rahasianya? Jujur saya tidak bisa menjawab pertanyaan ini, bahkan saat talkshow juga saya tidak bisa jawab. Tetapi semakin ke sini, pemikiran saya dan tim Vanilla Hijab merasa bahwa manusia itu hanya bisa berusaha, tetapi di balik itu usaha yang kita lakukan ditentukan oleh Tuhan.","So if we conclude, what is the secret of Vanilla Hijab's success? The secret? Honestly, I can't answer this question, even during the talk show I couldn't answer it. But as we come to this, my thoughts and those of the Vanilla Hijab team feel that humans can only try, but behind that the efforts we make are determined by God.",60,11
